NodeJS,(a+)+$,6,0.1310s
NodeJS,(a+)+$,11,0.0260s
NodeJS,(a+)+$,16,0.0270s
NodeJS,(a+)+$,21,0.0860s
NodeJS,(a+)+$,26,2.0190s
NodeJS,(a+)+$,31,TIMEOUT
NodeJS,(a|aa)+$,6,0.0290s
NodeJS,(a|aa)+$,11,0.0260s
NodeJS,(a|aa)+$,16,0.0250s
NodeJS,(a|aa)+$,21,0.0260s
NodeJS,(a|aa)+$,26,0.0410s
NodeJS,(a|aa)+$,31,0.2070s
NodeJS,(a|aa)+$,36,2.0340s
NodeJS,(a|aa)+$,41,TIMEOUT
NodeJS,(.*a){5},6,0.0280s
NodeJS,(.*a){5},11,0.0250s
NodeJS,(.*a){5},16,0.0240s
NodeJS,(.*a){5},21,0.0240s
NodeJS,(.*a){5},26,0.0280s
NodeJS,(.*a){5},31,0.0250s
NodeJS,(.*a){5},36,0.0250s
NodeJS,(.*a){5},41,0.0250s
NodeJS,(.*a){5},46,0.0240s
NodeJS,(.*a){5},51,0.0240s
NodeJS,(.*a){5},56,0.0250s
NodeJS,(.*a){5},61,0.0260s
NodeJS,(.*a){5},66,0.0250s
NodeJS,(.*a){5},71,0.0260s
NodeJS,(.*a){5},76,0.0260s
NodeJS,(.*a){5},81,0.0250s
NodeJS,(.*a){5},86,0.0240s
NodeJS,(.*a){5},91,0.0270s
NodeJS,(.*a){5},96,0.0240s
NodeJS,(.*a){5},101,0.0240s
NodeJS,(a|b|ab)*$,11,0.0240s
NodeJS,(a|b|ab)*$,21,0.0240s
NodeJS,(a|b|ab)*$,31,0.0280s
NodeJS,(a|b|ab)*$,41,0.1690s
NodeJS,(a|b|ab)*$,51,4.9880s
NodeJS,(a|b|ab)*$,61,TIMEOUT
